dateTime;day_ahead_price;intraday_price;price_diff;solar_capacity;solar_generation_actual;solar_profile;solar_generation_forecast;solar_forecast_error;wind_capacity;wind_generation_actual;wind_profile;wind_generation_forecast;wind_forecast_error
2016-01-01 00:00:00;23,86;29,34;-5,48;39021;0;0;0;0;44325;8648;0.1951;6033;2615
2016-01-01 01:00:00;22,39;24,28;-1,89;39021;0;0;0;0;44325;8579;0.1936;7421;1158
2016-01-01 02:00:00;20,59;25,26;-4,67;39021;0;0;0;0;44325;8542;0.1928;7266;1276
2016-01-01 03:00:00;16,81;20,24;-3,43;39021;0;0;0;0;44325;8443;0.1905;7180;1263
2016-01-01 04:00:00;17,41;21,94;-4,53;39021;0;0;0;0;44325;8295;0.1871;7016;1279
2016-01-01 05:00:00;17,02;23,5;-6,48;39021;0;0;0;0;44325;7319;0.1651;6787;532
2016-01-01 06:00:00;15,86;21,87;-6,01;39021;0;0;0;0;44325;6574;0.1483;6492;82
2016-01-01 07:00:00;18,16;25,13;-6,97;39021;0;0;0;0;44325;5624;0.1269;6058;-434
2016-01-01 08:00:00;17,73;24,52;-6,79;39021;137;0.0035;137;0;44325;4644;0.1048;5510;-866
2016-01-01 09:00:00;19,77;23,67;-3,9;39021;964;0.0248;1010;-46;44325;3733;0.0842;4924;-1191
2016-01-01 10:00:00;23,75;25,64;-1,89;39021;2522;0.0646;2451;71;44325;2776;0.0626;4172;-1396
2016-01-01 11:00:00;26,03;27,8;-1,77;39021;3768;0.0966;3815;-47;44325;1830;0.0413;3423;-1593
2016-01-01 12:00:00;27,06;29,75;-2,69;39021;4121;0.1056;4382;-261;44325;1287;0.029;2787;-1500
2016-01-01 13:00:00;26,59;28,45;-1,86;39021;3717;0.0952;3986;-269;44325;790;0.0178;2328;-1538
2016-01-01 14:00:00;25,0;26,42;-1,42;39021;2442;0.0626;2658;-216;44325;496;0.0112;1937;-1441
2016-01-01 15:00:00;24,43;28,25;-3,82;39021;841;0.0216;979;-138;44325;405;0.0091;1609;-1204
2016-01-01 16:00:00;28,87;32,49;-3,62;39021;51;0.0013;51;0;44325;665;0.015;1568;-903
2016-01-01 17:00:00;37,44;40,98;-3,54;39021;0;0;0;0;44325;1298;0.0293;1673;-375
2016-01-01 18:00:00;37,41;39,48;-2,07;39021;0;0;0;0;44325;2146;0.0484;1798;348
2016-01-01 19:00:00;35,34;34,34;1,0;39021;0;0;0;0;44325;3371;0.0761;2070;1301
2016-01-01 20:00:00;33,07;31,09;1,98;39021;0;0;0;0;44325;4383;0.0989;2725;1658
2016-01-01 21:00:00;29,52;27,17;2,35;39021;0;0;0;0;44325;5409;0.122;3182;2227
2016-01-01 22:00:00;30,1;27,59;2,51;39021;0;0;0;0;44325;6180;0.1394;3567;2613
2016-01-01 23:00:00;24,57;21,6;2,97;39021;0;0;0;0;44325;6958;0.157;3885;3073
2016-02-01 00:00:00;22,2;14,36;7,84;39022;0;0;0;0;44325;7462;0.1683;6397;1065
2016-02-01 01:00:00;16,57;13,48;3,09;39022;0;0;0;0;44325;8763;0.1977;7411;1352
2016-02-01 02:00:00;15,35;10,16;5,19;39022;0;0;0;0;44325;10716;0.2418;8610;2106
2016-02-01 03:00:00;12,77;7,77;5,0;39022;0;0;0;0;44325;11949;0.2696;9904;2045
2016-02-01 04:00:00;11,27;6,45;4,82;39022;0;0;0;0;44325;13451;0.3034;11359;2092
2016-02-01 05:00:00;11,91;6,38;5,53;39022;0;0;0;0;44325;14640;0.3303;12607;2033
2016-02-01 06:00:00;12,62;3,01;9,61;39022;0;0;0;0;44325;15480;0.3492;13859;1621
2016-02-01 07:00:00;13,83;6,98;6,85;39022;0;0;1;-1;44325;16062;0.3624;15165;897
2016-02-01 08:00:00;16,12;9,37;6,75;39022;106;0.0027;153;-47;44325;16588;0.3742;16305;283
2016-02-01 09:00:00;18,12;11,83;6,29;39022;593;0.0152;940;-347;44325;17324;0.3909;17458;-134
2016-02-01 10:00:00;19,59;18,85;0,74;39022;1341;0.0344;2047;-706;44325;17888;0.4035;18304;-416
2016-02-01 11:00:00;21,07;27,29;-6,22;39022;1866;0.0478;2911;-1045;44325;18265;0.4121;18733;-468
2016-02-01 12:00:00;22,54;29,36;-6,82;39022;2043;0.0524;3094;-1051;44325;18329;0.4135;19105;-776
2016-02-01 13:00:00;19,79;28,6;-8,81;39022;1869;0.0479;2601;-732;44325;18394;0.415;19475;-1081
2016-02-01 14:00:00;16,9;30,22;-13,32;39022;1178;0.0302;1628;-450;44325;18540;0.4182;20000;-1460
2016-02-01 15:00:00;16,97;27,73;-10,76;39022;382;0.0098;563;-181;44325;18754;0.4231;20642;-1888
2016-02-01 16:00:00;19,25;28,75;-9,5;39022;28;0.0007;34;-6;44325;19192;0.433;21140;-1948
2016-02-01 17:00:00;28,01;38,96;-10,95;39022;0;0;0;0;44325;19913;0.4492;21661;-1748
2016-02-01 18:00:00;28,36;41,66;-13,3;39022;0;0;0;0;44325;20215;0.456;22029;-1814
2016-02-01 19:00:00;26,56;38,3;-11,74;39022;0;0;0;0;44325;20108;0.4536;22119;-2011
2016-02-01 20:00:00;17,38;31,65;-14,27;39022;0;0;0;0;44325;19693;0.4443;21881;-2188
2016-02-01 21:00:00;15,83;29,08;-13,25;39022;0;0;0;0;44325;19202;0.4332;21525;-2323
2016-02-01 22:00:00;16,97;32,61;-15,64;39022;0;0;0;0;44325;18460;0.4165;21297;-2837
2016-02-01 23:00:00;15,31;25,18;-9,87;39022;0;0;0;0;44325;18772;0.4235;20946;-2174
2016-03-01 00:00:00;6,99;20,44;-13,45;39022;0;0;0;0;44325;18924;0.427;20522;-1598
2016-03-01 01:00:00;-0,01;15,81;-15,82;39022;0;0;0;0;44325;18596;0.4195;20481;-1885
2016-03-01 02:00:00;0,23;17,87;-17,64;39022;0;0;0;0;44325;18600;0.4196;20434;-1834
2016-03-01 03:00:00;4,51;15,08;-10,57;39022;0;0;0;0;44325;18440;0.416;20265;-1825
2016-03-01 04:00:00;4,12;11,55;-7,43;39022;0;0;0;0;44325;18281;0.4124;20091;-1810
2016-03-01 05:00:00;6,76;14,16;-7,4;39022;0;0;0;0;44325;18302;0.4129;19910;-1608
2016-03-01 06:00:00;0,75;14,69;-13,94;39022;0;0;0;0;44325;18422;0.4156;19785;-1363
2016-03-01 07:00:00;4,27;14,02;-9,75;39022;0;0;1;-1;44325;18190;0.4104;19670;-1480
2016-03-01 08:00:00;9,11;20,93;-11,82;39022;66;0.0017;131;-65;44325;17751;0.4004;19571;-1820
2016-03-01 09:00:00;15,92;25,0;-9,08;39022;638;0.0164;943;-305;44325;17202;0.3881;19505;-2303
2016-03-01 10:00:00;17,06;27,33;-10,27;39022;1648;0.0422;2097;-449;44325;16685;0.3764;19248;-2563
2016-03-01 11:00:00;19,28;29,2;-9,92;39022;2621;0.0672;3095;-474;44325;15632;0.3527;18646;-3014
2016-03-01 12:00:00;20,25;26,54;-6,29;39022;3051;0.0782;3553;-502;44325;14568;0.3286;17990;-3422
2016-03-01 13:00:00;17,66;25,77;-8,11;39022;2909;0.0745;3313;-404;44325;14358;0.3239;17589;-3231
2016-03-01 14:00:00;18,49;24,03;-5,54;39022;1880;0.0482;2332;-452;44325;14313;0.3229;17373;-3060
2016-03-01 15:00:00;16,51;22,31;-5,8;39022;658;0.0168;943;-285;44325;14881;0.3357;17320;-2439
2016-03-01 16:00:00;18,76;26,72;-7,96;39022;48;0.0012;76;-28;44325;15377;0.3469;17567;-2190
2016-03-01 17:00:00;22,21;38,84;-16,63;39022;0;0;3;-3;44325;16306;0.3679;17978;-1672
2016-03-01 18:00:00;26,76;41,61;-14,85;39022;0;0;0;0;44325;17294;0.3902;18445;-1151
2016-03-01 19:00:00;27,08;38,94;-11,86;39022;0;0;0;0;44325;17648;0.3982;18751;-1103
2016-03-01 20:00:00;25,33;38,03;-12,7;39022;0;0;0;0;44325;17745;0.4004;18773;-1028
2016-03-01 21:00:00;22,11;32,32;-10,21;39022;0;0;0;0;44325;17589;0.3968;18734;-1145
2016-03-01 22:00:00;20,91;33,33;-12,42;39022;0;0;0;0;44325;16955;0.3826;18795;-1840
2016-03-01 23:00:00;14,43;30,73;-16,3;39022;0;0;0;0;44325;16746;0.3778;18768;-2022
2016-04-01 00:00:00;13,78;23,63;-9,85;39033;0;0;0;0;44325;16415;0.3704;20345;-3930
2016-04-01 01:00:00;12,77;24,03;-11,26;39033;0;0;0;0;44325;15686;0.3539;20175;-4489
2016-04-01 02:00:00;10,56;22,8;-12,24;39033;0;0;0;0;44325;15040;0.3393;19888;-4848
2016-04-01 03:00:00;3,87;19,33;-15,46;39033;0;0;0;0;44325;14410;0.3251;19409;-4999
2016-04-01 04:00:00;3,2;16,23;-13,03;39033;0;0;0;0;44325;13623;0.3074;18962;-5339
2016-04-01 05:00:00;8,67;24,19;-15,52;39033;0;0;0;0;44325;13175;0.2972;18591;-5416
2016-04-01 06:00:00;18,01;37,74;-19,73;39033;0;0;0;0;44325;13284;0.2997;18237;-4953
2016-04-01 07:00:00;28,52;45,73;-17,21;39033;0;0;1;-1;44325;13091;0.2954;17904;-4813
2016-04-01 08:00:00;34,74;48,78;-14,04;39033;71;0.0018;99;-28;44325;12873;0.2904;17578;-4705
2016-04-01 09:00:00;33,46;47,22;-13,76;39033;533;0.0137;709;-176;44325;12206;0.2754;17147;-4941
2016-04-01 10:00:00;33,24;47,98;-14,74;39033;1350;0.0346;1573;-223;44325;11458;0.2585;16345;-4887
2016-04-01 11:00:00;35,09;48,73;-13,64;39033;1998;0.0512;2235;-237;44325;10580;0.2387;15262;-4682
2016-04-01 12:00:00;35,0;48,48;-13,48;39033;2231;0.0571;2497;-266;44325;10173;0.2295;14273;-4100
2016-04-01 13:00:00;35,0;49,27;-14,27;39033;2005;0.0514;2298;-293;44325;9772;0.2205;13401;-3629
2016-04-01 14:00:00;34,94;50,87;-15,93;39033;1298;0.0332;1571;-273;44325;9753;0.22;12785;-3032
2016-04-01 15:00:00;34,92;50,8;-15,88;39033;536;0.0137;635;-99;44325;10014;0.2259;12244;-2230
2016-04-01 16:00:00;38,0;51,52;-13,52;39033;58;0.0015;55;3;44325;10292;0.2322;11901;-1609
2016-04-01 17:00:00;41,21;58,2;-16,99;39033;0;0;0;0;44325;10920;0.2464;11867;-947
2016-04-01 18:00:00;42,95;56,2;-13,25;39033;0;0;0;0;44325;11096;0.2503;11926;-830
2016-04-01 19:00:00;41,96;53,17;-11,21;39033;0;0;0;0;44325;10861;0.245;11918;-1057
2016-04-01 20:00:00;34,94;44,74;-9,8;39033;0;0;0;0;44325;10690;0.2412;11779;-1089
2016-04-01 21:00:00;30,66;39,72;-9,06;39033;0;0;0;0;44325;10284;0.232;11568;-1284
2016-04-01 22:00:00;30,0;38,23;-8,23;39033;0;0;0;0;44325;9974;0.225;11344;-1370
2016-04-01 23:00:00;23,9;31,15;-7,25;39033;0;0;0;0;44325;9676;0.2183;11096;-1420
2016-05-01 00:00:00;25,03;26,98;-1,95;39035;0;0;0;0;44325;9529;0.215;11547;-2018
2016-05-01 01:00:00;24,42;27,03;-2,61;39035;0;0;0;0;44325;9304;0.2099;11515;-2211
2016-05-01 02:00:00;22,34;25,34;-3,0;39035;0;0;0;0;44325;9205;0.2077;11626;-2421
2016-05-01 03:00:00;21,5;21,79;-0,29;39035;0;0;0;0;44325;9191;0.2073;11630;-2439
2016-05-01 04:00:00;20,0;24,64;-4,64;39035;0;0;0;0;44325;9260;0.2089;11611;-2351
2016-05-01 05:00:00;23,53;28,13;-4,6;39035;0;0;0;0;44325;9387;0.2118;11628;-2241
2016-05-01 06:00:00;28,96;35,45;-6,49;39035;0;0;0;0;44325;9378;0.2116;11726;-2348
2016-05-01 07:00:00;38,32;44,65;-6,33;39035;0;0;2;-2;44325;9323;0.2104;11817;-2494
2016-05-01 08:00:00;41,45;44,25;-2,8;39035;75;0.002;131;-56;44325;9250;0.2087;11868;-2618
2016-05-01 09:00:00;40,72;44,67;-3,95;39035;603;0.0155;856;-253;44325;9086;0.205;11782;-2696
2016-05-01 10:00:00;40,66;45,37;-4,71;39035;1670;0.0428;1875;-205;44325;8797;0.1985;11583;-2786
2016-05-01 11:00:00;40,33;44,41;-4,08;39035;2497;0.064;2700;-203;44325;8369;0.1888;11379;-3010
2016-05-01 12:00:00;38,25;42,57;-4,32;39035;2936;0.0752;2968;-32;44325;8088;0.1824;11231;-3143
2016-05-01 13:00:00;36,98;39,63;-2,65;39035;2423;0.0621;2646;-223;44325;7892;0.1781;11158;-3266
2016-05-01 14:00:00;34,91;38,64;-3,73;39035;1610;0.0412;1813;-203;44325;7972;0.1798;11233;-3261
2016-05-01 15:00:00;33,5;41,92;-8,42;39035;673;0.0172;741;-68;44325;8052;0.1817;11433;-3381
2016-05-01 16:00:00;35,1;50,09;-14,99;39035;62;0.0016;68;-6;44325;8112;0.183;11507;-3395
2016-05-01 17:00:00;42,44;58,72;-16,28;39035;0;0;2;-2;44325;8368;0.1888;11530;-3162
2016-05-01 18:00:00;42,94;58,14;-15,2;39035;0;0;0;0;44325;8622;0.1945;11492;-2870
2016-05-01 19:00:00;41,74;54,55;-12,81;39035;0;0;0;0;44325;8527;0.1924;11468;-2941
2016-05-01 20:00:00;36,47;46,6;-10,13;39035;0;0;0;0;44325;8410;0.1897;11493;-3083
2016-05-01 21:00:00;33,01;40,38;-7,37;39035;0;0;0;0;44325;8185;0.1846;11499;-3314
2016-05-01 22:00:00;31,75;37,22;-5,47;39035;0;0;0;0;44325;7999;0.1804;11404;-3405
2016-05-01 23:00:00;26,99;35,91;-8,92;39035;0;0;0;0;44325;7968;0.1798;11204;-3236
2016-06-01 00:00:00;26,62;29,21;-2,59;39036;0;0;0;0;44335;7723;0.1742;9587;-1864
2016-06-01 01:00:00;25,58;28,77;-3,19;39036;0;0;0;0;44335;7566;0.1706;9330;-1764
2016-06-01 02:00:00;24,59;27,85;-3,26;39036;0;0;0;0;44335;7264;0.1638;9098;-1834
2016-06-01 03:00:00;22,5;24,37;-1,87;39036;0;0;0;0;44335;7212;0.1627;8900;-1688
2016-06-01 04:00:00;23,16;25,65;-2,49;39036;0;0;0;0;44335;7163;0.1616;8828;-1665
2016-06-01 05:00:00;24,99;29,5;-4,51;39036;0;0;0;0;44335;7366;0.1661;8815;-1449
2016-06-01 06:00:00;26,62;31,85;-5,23;39036;0;0;0;0;44335;7206;0.1626;8877;-1671
2016-06-01 07:00:00;28,03;34,36;-6,33;39036;0;0;2;-2;44335;7265;0.1639;8859;-1594
2016-06-01 08:00:00;29,34;32,95;-3,61;39036;127;0.0032;151;-24;44335;7169;0.1617;8777;-1608
2016-06-01 09:00:00;32,94;37,14;-4,2;39036;770;0.0197;974;-204;44335;6806;0.1535;8656;-1850
2016-06-01 10:00:00;37,71;41,12;-3,41;39036;1818;0.0466;2129;-311;44335;6636;0.1497;8410;-1774
2016-06-01 11:00:00;40,08;43,43;-3,35;39036;2721;0.0697;3128;-407;44335;6272;0.1415;8082;-1810
2016-06-01 12:00:00;40,73;44,42;-3,69;39036;2820;0.0722;3436;-616;44335;5672;0.1279;7613;-1941
2016-06-01 13:00:00;38,26;44,28;-6,02;39036;2326;0.0596;3040;-714;44335;5346;0.1206;7188;-1842
2016-06-01 14:00:00;35,44;42,68;-7,24;39036;1463;0.0375;2033;-570;44335;5177;0.1168;6949;-1772
2016-06-01 15:00:00;36,92;45,32;-8,4;39036;510;0.013;809;-299;44335;5347;0.1206;6920;-1573
2016-06-01 16:00:00;41,28;46,84;-5,56;39036;40;0.001;73;-33;44335;5586;0.126;7007;-1421
2016-06-01 17:00:00;44,95;50,51;-5,56;39036;0;0;2;-2;44335;6018;0.1357;7098;-1080
2016-06-01 18:00:00;46,9;53,42;-6,52;39036;0;0;0;0;44335;6242;0.1408;7186;-944
2016-06-01 19:00:00;43,95;48,17;-4,22;39036;0;0;0;0;44335;6465;0.1458;7194;-729
2016-06-01 20:00:00;39,94;41,03;-1,09;39036;0;0;0;0;44335;6603;0.1489;7143;-540
2016-06-01 21:00:00;32,4;35,65;-3,25;39036;0;0;0;0;44335;6434;0.1451;7111;-677
2016-06-01 22:00:00;33,51;36,94;-3,43;39036;0;0;0;0;44335;6437;0.1452;7267;-830
2016-06-01 23:00:00;30,11;33,11;-3,0;39036;0;0;0;0;44335;6372;0.1437;7524;-1152
2016-07-01 00:00:00;26,41;24,69;1,72;39039;0;0;0;0;44335;6420;0.1448;7849;-1429
2016-07-01 01:00:00;26,05;24,47;1,58;39039;0;0;0;0;44335;6509;0.1468;8036;-1527
2016-07-01 02:00:00;24,93;25,31;-0,38;39039;0;0;0;0;44335;6713;0.1514;8486;-1773
2016-07-01 03:00:00;22,39;21,5;0,89;39039;0;0;0;0;44335;6943;0.1566;8978;-2035
2016-07-01 04:00:00;22,32;22,26;0,06;39039;0;0;0;0;44335;7062;0.1593;9486;-2424
2016-07-01 05:00:00;24,2;24,18;0,02;39039;0;0;0;0;44335;7098;0.1601;10102;-3004
2016-07-01 06:00:00;31,0;29,87;1,13;39039;0;0;0;0;44335;7575;0.1708;10803;-3228
2016-07-01 07:00:00;42,47;39,51;2,96;39039;0;0;2;-2;44335;8400;0.1895;11481;-3081
2016-07-01 08:00:00;42,97;41,1;1,87;39039;150;0.0038;168;-18;44335;9167;0.2068;12432;-3265
2016-07-01 09:00:00;41,93;35,86;6,07;39039;1205;0.0309;1031;174;44335;10482;0.2364;13396;-2914
2016-07-01 10:00:00;41,62;31,72;9,9;39039;2839;0.0727;2033;806;44335;11005;0.2482;14229;-3224
2016-07-01 11:00:00;41,5;31,65;9,85;39039;3898;0.0998;2687;1211;44335;10906;0.246;14959;-4053
2016-07-01 12:00:00;40,66;31,54;9,12;39039;3342;0.0856;2630;712;44335;10983;0.2477;15707;-4724
2016-07-01 13:00:00;40,33;33,17;7,16;39039;1982;0.0508;2057;-75;44335;11398;0.2571;16548;-5150
2016-07-01 14:00:00;36,51;36,45;0,06;39039;914;0.0234;1241;-327;44335;12438;0.2806;17534;-5096
2016-07-01 15:00:00;33,49;35,56;-2,07;39039;282;0.0072;480;-198;44335;13858;0.3126;18413;-4555
2016-07-01 16:00:00;34,19;34,5;-0,31;39039;26;0.0006;39;-13;44335;15102;0.3406;18852;-3750
2016-07-01 17:00:00;40,66;35,69;4,97;39039;0;0;0;0;44335;16114;0.3635;18830;-2716
2016-07-01 18:00:00;40,8;38,01;2,79;39039;0;0;0;0;44335;17594;0.3968;19081;-1487
2016-07-01 19:00:00;37,19;35,47;1,72;39039;0;0;0;0;44335;18522;0.4178;18928;-406
2016-07-01 20:00:00;31,94;31,06;0,88;39039;0;0;0;0;44335;19609;0.4423;18391;1218
2016-07-01 21:00:00;27,01;26,68;0,33;39039;0;0;0;0;44335;20734;0.4676;18346;2388
2016-07-01 22:00:00;27,52;24,14;3,38;39039;0;0;0;0;44335;21372;0.4821;18499;2873
2016-07-01 23:00:00;23,4;18,59;4,81;39039;0;0;0;0;44335;21563;0.4864;18665;2898
2016-08-01 00:00:00;12,12;26,13;-14,01;39041;0;0;0;0;44338;22456;0.5065;22592;-136
2016-08-01 01:00:00;17,23;23,63;-6,4;39041;0;0;0;0;44338;22810;0.5144;23248;-438
2016-08-01 02:00:00;13,9;20,41;-6,51;39041;0;0;0;0;44338;22868;0.5157;23343;-475
2016-08-01 03:00:00;12,11;20,57;-8,46;39041;0;0;0;0;44338;23458;0.529;24123;-665
2016-08-01 04:00:00;12,99;15,22;-2,23;39041;0;0;0;0;44338;23700;0.5346;24963;-1263
2016-08-01 05:00:00;16,98;11,67;5,31;39041;0;0;0;0;44338;24682;0.5566;25376;-694
2016-08-01 06:00:00;22,02;20,22;1,8;39041;0;0;0;0;44338;25880;0.5837;25487;393
2016-08-01 07:00:00;28,4;25,32;3,08;39041;0;0;4;-4;44338;26073;0.588;25309;764
2016-08-01 08:00:00;29,31;27,81;1,5;39041;339;0.0087;352;-13;44338;26408;0.5956;24975;1433
2016-08-01 09:00:00;26,6;26,82;-0,22;39041;2815;0.0721;2624;191;44338;26070;0.588;24599;1471
2016-08-01 10:00:00;25,55;22,08;3,47;39041;6242;0.1599;5446;796;44338;25515;0.5755;24073;1442
2016-08-01 11:00:00;25,76;21,25;4,51;39041;8735;0.2238;7704;1031;44338;25106;0.5662;22965;2141
2016-08-01 12:00:00;25,13;16,92;8,21;39041;9116;0.2335;8423;693;44338;23671;0.5339;21369;2302
2016-08-01 13:00:00;25,58;19,95;5,63;39041;7362;0.1886;7515;-153;44338;21322;0.4809;19785;1537
2016-08-01 14:00:00;27,6;25,96;1,64;39041;4492;0.1151;5208;-716;44338;18643;0.4205;18190;453
2016-08-01 15:00:00;32,08;31,97;0,11;39041;1750;0.0448;2086;-336;44338;16149;0.3642;16772;-623
2016-08-01 16:00:00;37,16;42,61;-5,45;39041;118;0.003;116;2;44338;15412;0.3476;15764;-352
2016-08-01 17:00:00;45,0;48,1;-3,1;39041;0;0;0;0;44338;14731;0.3322;15302;-571
2016-08-01 18:00:00;46,97;48,32;-1,35;39041;0;0;0;0;44338;13577;0.3062;14870;-1293
2016-08-01 19:00:00;40,09;42,89;-2,8;39041;0;0;0;0;44338;12775;0.2881;14476;-1701
2016-08-01 20:00:00;34,61;38,08;-3,47;39041;0;0;0;0;44338;11888;0.2681;13587;-1699
2016-08-01 21:00:00;31,52;32,84;-1,32;39041;0;0;0;0;44338;11230;0.2533;12433;-1203
2016-08-01 22:00:00;32,5;32,07;0,43;39041;0;0;0;0;44338;10311;0.2326;11183;-872
2016-08-01 23:00:00;26,01;31,45;-5,44;39041;0;0;0;0;44338;9782;0.2206;9976;-194
2016-09-01 00:00:00;26,1;27,17;-1,07;39041;0;0;0;0;44338;8815;0.1988;7203;1612
2016-09-01 01:00:00;25,1;25,45;-0,35;39041;0;0;0;0;44338;8121;0.1831;6367;1754
2016-09-01 02:00:00;24,3;26,08;-1,78;39041;0;0;0;0;44338;7671;0.173;5681;1990
2016-09-01 03:00:00;23,23;23,93;-0,7;39041;0;0;0;0;44338;7198;0.1623;5192;2006
2016-09-01 04:00:00;21,96;23,12;-1,16;39041;0;0;0;0;44338;7355;0.1659;5058;2297
2016-09-01 05:00:00;22,45;22,48;-0,03;39041;0;0;0;0;44338;7094;0.16;5105;1989
2016-09-01 06:00:00;23,07;24,06;-0,99;39041;0;0;0;0;44338;7464;0.1683;5296;2168
2016-09-01 07:00:00;25,0;24,67;0,33;39041;0;0;2;-2;44338;7537;0.17;5614;1923
2016-09-01 08:00:00;32,11;27,98;4,13;39041;196;0.005;113;83;44338;7807;0.1761;5944;1863
2016-09-01 09:00:00;37,12;28,57;8,55;39041;1554;0.0398;816;738;44338;7990;0.1802;6104;1886
2016-09-01 10:00:00;36,13;28,12;8,01;39041;3446;0.0882;2240;1206;44338;7728;0.1743;5984;1744
2016-09-01 11:00:00;35,76;25,53;10,23;39041;5002;0.1281;3656;1346;44338;6464;0.1458;5572;892
2016-09-01 12:00:00;34,06;26,81;7,25;39041;5171;0.1324;4087;1084;44338;5640;0.1272;5206;434
2016-09-01 13:00:00;31,54;28,12;3,42;39041;4453;0.114;3640;813;44338;5292;0.1194;5234;58
2016-09-01 14:00:00;27,92;27,26;0,66;39041;2900;0.0743;2461;439;44338;5173;0.1167;5657;-484
2016-09-01 15:00:00;27,0;29,17;-2,17;39041;1078;0.0276;990;88;44338;6124;0.1382;6322;-198
2016-09-01 16:00:00;30,5;32,26;-1,76;39041;91;0.0024;65;26;44338;7979;0.18;7202;777
2016-09-01 17:00:00;36,99;36,33;0,66;39041;0;0;0;0;44338;9648;0.2176;8085;1563
2016-09-01 18:00:00;36,8;33,83;2,97;39041;0;0;0;0;44338;10718;0.2418;8823;1895
2016-09-01 19:00:00;35,0;29,3;5,7;39041;0;0;0;0;44338;11450;0.2582;9277;2173
2016-09-01 20:00:00;29,0;27,98;1,02;39041;0;0;0;0;44338;11629;0.2623;9569;2060
2016-09-01 21:00:00;25,01;26,09;-1,08;39041;0;0;0;0;44338;11666;0.2631;9980;1686
2016-09-01 22:00:00;25,1;25,55;-0,45;39041;0;0;0;0;44338;12193;0.275;10436;1757
2016-09-01 23:00:00;22,28;24,09;-1,81;39041;0;0;0;0;44338;12602;0.2842;10860;1742
2016-10-01 00:00:00;15,58;17,03;-1,45;39041;0;0;0;0;44338;13086;0.2952;11711;1375
2016-10-01 01:00:00;19,05;15,65;3,4;39041;0;0;0;0;44338;13590;0.3065;12260;1330
2016-10-01 02:00:00;16,87;11,05;5,82;39041;0;0;0;0;44338;14377;0.3243;12807;1570
2016-10-01 03:00:00;12,75;9,83;2,92;39041;0;0;0;0;44338;15121;0.341;13318;1803
2016-10-01 04:00:00;10,81;9,25;1,56;39041;0;0;0;0;44338;15188;0.3426;13770;1418
2016-10-01 05:00:00;10,85;8,9;1,95;39041;0;0;0;0;44338;15749;0.3552;14421;1328
2016-10-01 06:00:00;9,85;8,4;1,45;39041;0;0;0;0;44338;16646;0.3754;14889;1757
2016-10-01 07:00:00;11,92;9,52;2,4;39041;0;0;3;-3;44338;17234;0.3887;15332;1902
2016-10-01 08:00:00;15,44;12,5;2,94;39041;178;0.0046;165;13;44338;17175;0.3873;15903;1272
2016-10-01 09:00:00;18,99;18,72;0,27;39041;1196;0.0306;1160;36;44338;16838;0.3798;16020;818
2016-10-01 10:00:00;19,66;24,59;-4,93;39041;2311;0.0592;2698;-387;44338;16607;0.3746;15944;663
2016-10-01 11:00:00;21,59;25,55;-3,96;39041;3154;0.0808;4058;-904;44338;16256;0.3666;15332;924
2016-10-01 12:00:00;21,83;26,89;-5,06;39041;3805;0.0975;4500;-695;44338;15297;0.345;14519;778
2016-10-01 13:00:00;20,82;24,38;-3,56;39041;3940;0.1009;4172;-232;44338;14348;0.3236;13475;873
2016-10-01 14:00:00;20,06;21,91;-1,85;39041;3009;0.0771;3052;-43;44338;13428;0.3029;12144;1284
2016-10-01 15:00:00;21,45;22,51;-1,06;39041;1226;0.0314;1312;-86;44338;12548;0.283;11175;1373
2016-10-01 16:00:00;23,92;25,23;-1,31;39041;81;0.002;107;-26;44338;12871;0.2903;10559;2312
2016-10-01 17:00:00;27,93;29,3;-1,37;39041;0;0;0;0;44338;13438;0.3031;10357;3081
2016-10-01 18:00:00;35,0;33,15;1,85;39041;0;0;0;0;44338;13767;0.3105;10385;3382
2016-10-01 19:00:00;33,0;30,23;2,77;39041;0;0;0;0;44338;14325;0.3231;10442;3883
2016-10-01 20:00:00;30,03;21,52;8,51;39041;0;0;0;0;44338;13727;0.3096;10488;3239
2016-10-01 21:00:00;26,06;15,76;10,3;39041;0;0;0;0;44338;12371;0.279;10415;1956
2016-10-01 22:00:00;26,93;22,11;4,82;39041;0;0;0;0;44338;11575;0.261;10359;1216
2016-10-01 23:00:00;23,12;23,09;0,03;39041;0;0;0;0;44338;11273;0.2542;9972;1301
2016-11-01 00:00:00;21,95;20,21;1,74;39043;0;0;0;0;44340;10728;0.242;9992;736
2016-11-01 01:00:00;20,04;17,1;2,94;39043;0;0;0;0;44340;10013;0.2258;9365;648
2016-11-01 02:00:00;19,78;13,49;6,29;39043;0;0;0;0;44340;9387;0.2117;8830;557
2016-11-01 03:00:00;19,36;14,12;5,24;39043;0;0;0;0;44340;8030;0.1811;8231;-201
2016-11-01 04:00:00;19,56;14,73;4,83;39043;0;0;0;0;44340;7316;0.165;7503;-187
2016-11-01 05:00:00;21,67;17,47;4,2;39043;0;0;0;0;44340;6474;0.146;6780;-306
2016-11-01 06:00:00;28,5;24,77;3,73;39043;0;0;0;0;44340;6188;0.1396;6207;-19
2016-11-01 07:00:00;41,61;32,35;9,26;39043;0;0;2;-2;44340;6382;0.1439;5956;426
